City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,petrolina,-9.3986,-40.5008,25.03,78,0,0.0,BR,1739146292
273,tabou,4.423,-7.3528,26.6,85,100,2.31,CI,1739146035
274,hauterive,46.0901,3.4459,5.5,84,100,1.15,FR,1739146436
275,borogontsy,62.6683,131.1683,-34.91,98,100,1.67,RU,1739146437
276,bikenibeu village,1.3673,173.1241,29.98,70,40,6.69,KI,1739146438
277,eraan,9.0629,117.7016,25.55,88,100,2.83,PH,1739146439
278,perez,-32.9983,-60.7679,31.06,60,9,1.34,AR,1739146440
279,salinas,36.6777,-121.6555,13.79,61,0,5.66,US,1739146423
280,zeya,53.75,127.2667,-19.3,91,100,0.56,RU,1739146442
281,klyuchi,52.2667,79.1667,-11.57,97,98,3.79,RU,1739146443
282,isna,25.2934,32.554,14.27,45,100,5.01,EG,1739146445
283,isangel,-19.55,169.2667,27.69,79,100,2.48,VU,1739146446
284,east london,-33.0153,27.9116,20.36,83,100,2.77,ZA,1739146447
285,roma,43.2128,-75.4557,-1.84,92,100,0.89,US,1739146222
286,mount gambier,-37.8333,140.7667,22.24,56,72,5.42,AU,1739146449
287,new norfolk,-42.7826,147.0587,18.29,41,23,2.15,AU,1739146451
288,kerikeri,-35.2268,173.9474,22.86,65,92,4.02,NZ,1739146452
289,bisingen,48.3101,8.9174,0.75,95,61,0.71,DE,1739146454
290,whitecourt,54.1502,-115.6855,-15.42,66,75,7.72,CA,1739146455
291,aripuana,-9.1667,-60.6333,22.98,98,91,0.92,BR,1739146456
292,sinabang,2.4803,96.3801,25.82,80,85,0.62,ID,1739146457
293,tindouf,27.6711,-8.1474,13.4,22,0,3.54,DZ,1739146458
294,happy valley-goose bay,53.3168,-60.3315,-18.75,78,100,4.0,CA,1739146459
295,sandnessjoen,66.0217,12.6316,3.06,87,75,1.54,NO,1739146460
296,nizhneangarsk,55.7833,109.55,-20.64,97,100,1.47,RU,1739146462
297,labuan bajo,-8.4964,119.8877,27.54,82,100,3.19,ID,1739146463
298,acarau,-2.8856,-40.12,26.35,80,100,5.29,BR,1739146465
299,northam,51.0333,-4.2167,4.89,86,91,3.13,GB,1739146466
300,springbok,-29.6643,17.8865,16.92,46,0,1.73,ZA,1739146467
301,kyren,51.6828,102.1408,-14.55,92,100,0.61,RU,1739146468
302,aykhal,66.0,111.5,-27.98,100,100,3.24,RU,1739146469
